date,county,time,count
2020-04-07,Pickens,77,21
2020-04-07,Spartanburg,77,120
2020-04-07,Union,77,15
2020-04-08,Abbeville,78,5
2020-04-08,Anderson,78,75
2020-04-08,Cherokee,78,4
2020-04-08,Greenville,78,214
2020-04-08,Greenwood,78,12
2020-04-08,Laurens,78,6
2020-04-08,Oconee,78,9
2020-04-08,Pickens,78,21
2020-04-08,Spartanburg,78,120
2020-04-08,Union,78,15
2020-04-09,Abbeville,79,7
2020-04-09,Anderson,79,96
2020-04-09,Cherokee,79,5
2020-04-09,Greenville,79,254
2020-04-09,Greenwood,79,15
2020-04-09,Laurens,79,9
2020-04-09,Oconee,79,12
2020-04-09,Pickens,79,22
2020-04-09,Spartanburg,79,139
2020-04-09,Union,79,19
2020-04-10,Abbeville,80,7
2020-04-10,Anderson,80,100
2020-04-10,Cherokee,80,8
2020-04-10,Greenville,80,308
2020-04-10,Greenwood,80,16
2020-04-10,Laurens,80,11
2020-04-10,Oconee,80,12
2020-04-10,Pickens,80,27
2020-04-10,Spartanburg,80,150
2020-04-10,Union,80,20
2020-04-11,Abbeville,81,9
2020-04-11,Anderson,81,102
2020-04-11,Cherokee,81,8
2020-04-11,Greenville,81,325
2020-04-11,Greenwood,81,17
2020-04-11,Laurens,81,13
2020-04-11,Oconee,81,13
2020-04-11,Pickens,81,28
2020-04-11,Spartanburg,81,170
2020-04-11,Union,81,22
2020-04-12,Abbeville,82,9
2020-04-12,Anderson,82,106
2020-04-12,Cherokee,82,8
2020-04-12,Greenville,82,339
2020-04-12,Greenwood,82,17
2020-04-12,Laurens,82,14
2020-04-12,Oconee,82,14
2020-04-12,Pickens,82,28
2020-04-12,Spartanburg,82,174
2020-04-12,Union,82,22
2020-04-13,Abbeville,83,9
2020-04-13,Anderson,83,109
2020-04-13,Cherokee,83,8
2020-04-13,Greenville,83,346
2020-04-13,Greenwood,83,18
2020-04-13,Laurens,83,14
2020-04-13,Oconee,83,14
2020-04-13,Pickens,83,28
2020-04-13,Spartanburg,83,174
2020-04-13,Union,83,22
2020-04-14,Abbeville,84,9
2020-04-14,Anderson,84,111
2020-04-14,Cherokee,84,8
2020-04-14,Greenville,84,373
2020-04-14,Greenwood,84,18
2020-04-14,Laurens,84,14
2020-04-14,Oconee,84,14
2020-04-14,Pickens,84,34
2020-04-14,Spartanburg,84,190
2020-04-14,Union,84,23
2020-04-15,Abbeville,85,10
2020-04-15,Anderson,85,114
2020-04-15,Cherokee,85,8
2020-04-15,Greenville,85,400
2020-04-15,Greenwood,85,19
2020-04-15,Laurens,85,14
2020-04-15,Oconee,85,14
2020-04-15,Pickens,85,34
2020-04-15,Spartanburg,85,191
2020-04-15,Union,85,23
2020-04-16,Abbeville,86,10
2020-04-16,Anderson,86,119
2020-04-16,Cherokee,86,12
